box_img_group,label,IoU,sample_size,F1,Precision,Recall
0.05~0.10,bladder @ CT,0.342646,12,0.490858,0.991799,0.34532
0.05~0.10,deep grey matter @ MR,0.528818,24,0.685736,0.870856,0.579019
0.05~0.10,edema of brain @ MR,0.684566,55,0.802132,0.972356,0.699458
0.05~0.10,enhancing brain tumor @ MR,0.191757,52,0.288682,0.828178,0.196689
0.05~0.10,enhancing brain tumor tissue @ MR,0.850662,26,0.917118,0.906711,0.933165
0.05~0.10,external cerebrospinal fluid @ MR,0.806694,24,0.885931,0.902657,0.899226
0.05~0.10,femoral cartilage @ MR,0.676684,5,0.80513,0.870242,0.753362
0.05~0.10,femur @ MR,0.884208,58,0.935049,0.929725,0.942622
0.05~0.10,grey matter @ MR,0.701359,10,0.818994,0.781091,0.905689
0.05~0.10,kidney @ CT,0.836161,51,0.901033,0.899536,0.909471
0.05~0.10,kidney tumor @ CT,0.502533,133,0.613896,0.834612,0.535161
0.05~0.10,lateral meniscus @ MR,0.314963,42,0.443645,0.610664,0.368619
0.05~0.10,lateral tibial cartilage @ MR,0.283851,34,0.341983,0.427728,0.290687
0.05~0.10,left atrium @ US,0.747429,201,0.845272,0.936135,0.787666
0.05~0.10,left ventricular myocardium @ US,0.725498,144,0.826343,0.796183,0.884695
0.05~0.10,liver @ CT,0.928213,195,0.960327,0.96089,0.965908
0.05~0.10,liver cancer @ CT,0.775537,13,0.871704,0.962599,0.805175
0.05~0.10,liver tumor @ CT,0.638618,38,0.73664,0.898185,0.689007
0.05~0.10,medial meniscus @ MR,0.225507,51,0.350727,0.451779,0.310049
0.05~0.10,medial tibial cartilage @ MR,0.539046,30,0.692241,0.862864,0.595416
0.05~0.10,non-enhancing brain tumor @ MR,0.603126,87,0.703089,0.88579,0.668772
0.05~0.10,pancreas @ CT,0.686303,82,0.771728,0.972452,0.70593
0.05~0.10,peripheral zone of prostate @ MR,0.798443,4,0.886289,0.964875,0.822926
0.05~0.10,peritumoral edema of brain @ MR,0.117049,5,0.209351,1.0,0.117049
0.05~0.10,prostate/uterus @ CT,0.099841,20,0.178545,0.632023,0.1072
0.05~0.10,renal vein @ CT,0.277804,34,0.35195,0.868508,0.27885
0.05~0.10,resection cavity of brain @ MR,0.688354,28,0.80168,0.978085,0.695761
0.05~0.10,spleen @ CT,0.953373,109,0.975863,0.967773,0.985099
0.05~0.10,stomach @ CT,0.843408,40,0.902693,0.969158,0.868173
0.05~0.10,stroke infarct @ MR,0.233879,19,0.317056,0.625917,0.238095
0.05~0.10,surrounding non-enhancing flair hyperintensity of brain @ MR,0.475879,130,0.592765,0.718816,0.529873
0.05~0.10,tibia @ MR,0.896123,13,0.943057,0.967738,0.925413
0.05~0.10,transition zone of prostate @ MR,0.877644,13,0.934056,0.893071,0.981149
0.05~0.10,tumor @ CT,0.045662,1,0.087336,1.0,0.045662
0.05~0.10,ventricles @ MR,0.356206,6,0.495564,0.929552,0.358701
0.05~0.10,white matter @ MR,0.706722,14,0.815555,0.904103,0.744835
0.10~0.15,edema of brain @ MR,0.685309,4,0.798025,0.995711,0.68875
0.10~0.15,external cerebrospinal fluid @ MR,0.850085,22,0.915441,0.920168,0.929183
0.10~0.15,femur @ MR,0.942352,85,0.97014,0.970324,0.970698
0.10~0.15,grey matter @ MR,0.885071,14,0.938458,0.978926,0.90272
0.10~0.15,kidney @ CT,0.880688,52,0.935208,0.942879,0.935051
0.10~0.15,kidney tumor @ CT,0.645539,18,0.747931,0.978357,0.656269
0.10~0.15,left atrium @ US,0.663096,32,0.795832,0.908883,0.71305
0.10~0.15,left ventricle @ US,0.742583,32,0.840597,0.836711,0.888095
0.10~0.15,left ventricular myocardium @ US,0.821741,108,0.90045,0.953664,0.857718
0.10~0.15,liver @ CT,0.953358,195,0.975764,0.979566,0.973302
0.10~0.15,liver tumor @ CT,0.393169,16,0.472905,0.974512,0.413788
0.10~0.15,non-enhancing brain tumor @ MR,0.064681,5,0.118991,0.482623,0.067973
0.10~0.15,pancreas @ CT,0.71145,3,0.82918,0.998049,0.7123
0.10~0.15,renal vein @ CT,0.082201,10,0.148306,0.951862,0.082574
0.10~0.15,spleen @ CT,0.971241,8,0.985375,0.992289,0.978642
0.10~0.15,stomach @ CT,0.914305,19,0.954397,0.967346,0.942959
0.10~0.15,surrounding non-enhancing flair hyperintensity of brain @ MR,0.571295,23,0.703841,0.909675,0.598741
0.10~0.15,tibia @ MR,0.943894,95,0.969661,0.986581,0.954401
0.10~0.15,ventricles @ MR,0.140815,9,0.243854,1.0,0.140815
0.10~0.15,white matter @ MR,0.764031,5,0.859012,0.909936,0.847868
0.15~0.20,external cerebrospinal fluid @ MR,0.878313,24,0.933991,0.939478,0.93756
0.15~0.20,femur @ MR,0.958245,30,0.978569,0.968323,0.989509
0.15~0.20,grey matter @ MR,0.867951,29,0.92882,0.929972,0.930523
0.15~0.20,kidney @ CT,0.925563,60,0.960764,0.961568,0.962222
0.15~0.20,kidney tumor @ CT,0.832207,20,0.907399,0.985097,0.844008
0.15~0.20,left ventricle @ US,0.838603,86,0.910532,0.947324,0.884024
0.15~0.20,left ventricular myocardium @ US,0.771168,57,0.868473,0.948593,0.807017
0.15~0.20,liver @ CT,0.957848,261,0.978046,0.981396,0.975885
0.15~0.20,liver tumor @ CT,0.535451,5,0.666396,1.0,0.535451
0.15~0.20,stomach @ CT,0.831146,7,0.902366,0.947027,0.866557
0.15~0.20,surrounding non-enhancing flair hyperintensity of brain @ MR,0.307122,4,0.467198,0.96143,0.310747
0.15~0.20,tibia @ MR,0.944864,92,0.970084,0.994028,0.95057
0.15~0.20,white matter @ MR,0.881836,30,0.93647,0.908288,0.968738
0.20~0.25,external cerebrospinal fluid @ MR,0.908508,27,0.950848,0.961914,0.943625
0.20~0.25,femur @ MR,0.940228,13,0.968878,0.973565,0.964824
0.20~0.25,grey matter @ MR,0.904724,25,0.949664,0.962624,0.939646
0.20~0.25,kidney @ CT,0.931898,74,0.964357,0.967759,0.962385
0.20~0.25,kidney tumor @ CT,0.76131,33,0.831612,0.971173,0.780732
0.20~0.25,left ventricle @ US,0.847421,102,0.916731,0.964356,0.878939
0.20~0.25,left ventricular myocardium @ US,0.751569,14,0.852132,0.9571,0.784264
0.20~0.25,liver @ CT,0.967074,201,0.982661,0.984918,0.981704
0.20~0.25,tibia @ MR,0.96395,62,0.981579,0.991072,0.972561
0.20~0.25,white matter @ MR,0.815268,15,0.890801,0.955213,0.85612
0.25~0.30,external cerebrospinal fluid @ MR,0.931569,52,0.964114,0.969443,0.960664
0.25~0.30,femur @ MR,0.967753,42,0.98356,0.988448,0.978839
0.25~0.30,grey matter @ MR,0.868276,32,0.923628,0.972163,0.893933
0.25~0.30,kidney @ CT,0.941005,91,0.969007,0.969289,0.970412
0.25~0.30,left ventricle @ US,0.858108,48,0.923253,0.954087,0.900011
0.25~0.30,left ventricular myocardium @ US,0.647328,2,0.77005,1.0,0.647328
0.25~0.30,liver @ CT,0.962547,66,0.980433,0.984345,0.97759
0.25~0.30,tibia @ MR,0.968786,108,0.984038,0.990856,0.977573
0.30~0.35,external cerebrospinal fluid @ MR,0.913876,40,0.954639,0.990636,0.922271
0.30~0.35,femur @ MR,0.974374,67,0.986964,0.988111,0.986107
0.30~0.35,grey matter @ MR,0.924934,8,0.960929,0.998639,0.926142
0.30~0.35,kidney @ CT,0.914399,130,0.951806,0.973073,0.9396
0.30~0.35,left ventricle @ US,0.857965,41,0.922182,0.980314,0.874988
0.30~0.35,liver @ CT,0.972797,23,0.986187,0.991836,0.980759
0.30~0.35,tibia @ MR,0.964847,72,0.982042,0.98444,0.979976
0.35~0.40,external cerebrospinal fluid @ MR,0.952433,12,0.975559,0.991594,0.960464
0.35~0.40,femur @ MR,0.977115,51,0.988394,0.99111,0.985895
0.35~0.40,kidney @ CT,0.918731,44,0.955903,0.962872,0.95199
0.35~0.40,left ventricle @ US,0.880377,14,0.936067,0.961896,0.913705
0.35~0.40,tibia @ MR,0.971928,6,0.985712,0.993672,0.977925
0.40~0.45,external cerebrospinal fluid @ MR,0.941473,10,0.969841,1.0,0.941473
0.40~0.45,femur @ MR,0.980205,53,0.98999,0.990172,0.989846
0.40~0.45,kidney @ CT,0.932749,28,0.964332,0.984509,0.946094
0.40~0.45,left ventricle @ US,0.844092,8,0.914408,0.969377,0.868276
0.45~0.50,kidney @ CT,0.954983,12,0.976905,0.981107,0.97292
0.45~0.50,left ventricle @ US,0.81878,3,0.900242,0.944712,0.860042
<0.05,anterior communicating artery @ MR,0.016416,14,0.027676,0.016717,0.080364
<0.05,aorta @ CT,0.869002,777,0.925808,0.920017,0.935742
<0.05,basilar artery @ MR,0.594842,197,0.729051,0.644312,0.866239
<0.05,bladder @ CT,0.493914,33,0.575615,0.574455,0.667522
<0.05,brainstem @ MR,0.361307,275,0.465664,0.49858,0.483976
<0.05,cerebellum @ MR,0.468407,137,0.613763,0.589305,0.708833
<0.05,cochlea @ MR,0.0,24,0.0,0.0,0.0
<0.05,colon cancer primaries @ CT,0.335372,322,0.401511,0.442907,0.41286
<0.05,cystic component of brain @ MR,0.522889,41,0.634533,0.549377,0.93129
<0.05,deep grey matter @ MR,0.351324,19,0.477562,0.666958,0.49811
<0.05,duodenum @ CT,0.397726,75,0.52871,0.603309,0.575469
<0.05,edema of brain @ MR,0.501736,317,0.603675,0.652382,0.616658
<0.05,enhancing brain tumor @ MR,0.371474,706,0.476864,0.50805,0.587713
<0.05,enhancing brain tumor tissue @ MR,0.647088,501,0.734532,0.729097,0.782924
<0.05,esophagus @ CT,0.451228,161,0.569412,0.580874,0.580738
<0.05,external cerebrospinal fluid @ MR,0.685311,106,0.783955,0.839624,0.812094
<0.05,femoral cartilage @ MR,0.366344,77,0.452747,0.41908,0.585253
<0.05,femur @ MR,0.551699,19,0.608463,0.584931,0.644183
<0.05,gall bladder @ CT,0.639697,15,0.744027,0.835829,0.726767
<0.05,gallbladder @ CT,0.598689,104,0.687973,0.699558,0.728086
<0.05,grey matter @ MR,0.254595,11,0.347431,0.281741,0.840115
<0.05,inferior vena cava (ivc) @ CT,0.798511,161,0.872422,0.851888,0.906118
<0.05,inferior vena cava @ CT,0.777986,183,0.865461,0.830694,0.915515
<0.05,kidney @ CT,0.766323,442,0.823735,0.841244,0.82948
<0.05,kidney cyst @ CT,0.325662,79,0.384147,0.405234,0.40658
<0.05,kidney tumor @ CT,0.405779,640,0.502847,0.596367,0.492514
<0.05,lateral meniscus @ MR,0.143874,86,0.227316,0.186252,0.505186
<0.05,lateral tibial cartilage @ MR,0.063761,114,0.08689,0.090131,0.105278
<0.05,left adrenal gland (lag) @ CT,0.230017,24,0.330123,0.35355,0.326934
<0.05,left adrenal gland @ CT,0.189938,56,0.282956,0.32317,0.296868
<0.05,left anterior cerebral artery @ MR,0.178586,68,0.255536,0.245876,0.353311
<0.05,left atrium @ US,0.533502,99,0.640402,0.611045,0.730009
<0.05,left atrium of heart @ MR,0.607272,274,0.702354,0.680616,0.787233
<0.05,left internal carotid artery @ MR,0.571518,191,0.666111,0.630551,0.768186
<0.05,left kidney @ CT,0.913026,360,0.951553,0.946986,0.961422
<0.05,left middle cerebral artery @ MR,0.41108,50,0.530213,0.505442,0.611264
<0.05,left posterior cerebral artery @ MR,0.408401,62,0.506828,0.514477,0.551732
<0.05,left posterior communicating artery @ MR,0.0,5,0.0,0.0,0.0
<0.05,left ventricular myocardium @ US,0.787187,9,0.878173,0.854595,0.904571
<0.05,liver @ CT,0.822936,544,0.88314,0.878482,0.907485
<0.05,liver cancer @ CT,0.444581,226,0.547088,0.600137,0.601892
<0.05,liver tumor @ CT,0.393179,872,0.48392,0.545594,0.506953
<0.05,liver vessel @ CT,0.336372,69,0.43462,0.391892,0.564262
<0.05,lung cancer @ CT,0.306369,362,0.374613,0.419553,0.377772
<0.05,medial meniscus @ MR,0.043702,26,0.072819,0.060324,0.132521
<0.05,medial tibial cartilage @ MR,0.416989,82,0.544399,0.583316,0.624891
<0.05,metastatic lymph node @ MR,0.303883,627,0.367172,0.370489,0.414127
