box_img_group,label,IoU,sample_size,F1,Precision,Recall
0.05~0.10,Brain @ MR,0.655093,78,0.773091,0.879615,0.732239
0.05~0.10,Brain Tumor/Lesion @ MR,0.518355,402,0.623681,0.833104,0.55875
0.05~0.10,Heart @ US,0.738276,345,0.837371,0.87772,0.828165
0.05~0.10,Kidney @ CT,0.836161,51,0.901033,0.899536,0.909471
0.05~0.10,Kidney Tumor/Lesion @ CT,0.502533,133,0.613896,0.834612,0.535161
0.05~0.10,Knee Bone @ MR,0.88639,71,0.936516,0.936685,0.939471
0.05~0.10,Knee Soft Tissue @ MR,0.332932,162,0.45025,0.576966,0.387698
0.05~0.10,Liver @ CT,0.928213,195,0.960327,0.96089,0.965908
0.05~0.10,Liver Tumor/Lesion @ CT,0.673519,51,0.771068,0.914604,0.718618
0.05~0.10,Miscellaneous Tumor/Lesion @ CT,0.045662,1,0.087336,1.0,0.045662
0.05~0.10,Others @ CT,0.099841,20,0.178545,0.632023,0.1072
0.05~0.10,Pancreas @ CT,0.686303,82,0.771728,0.972452,0.70593
0.05~0.10,Prostate @ MR,0.859008,17,0.922817,0.909966,0.94392
0.05~0.10,Spleen @ CT,0.953373,109,0.975863,0.967773,0.985099
0.05~0.10,Stomach @ CT,0.843408,40,0.902693,0.969158,0.868173
0.05~0.10,Urinary System @ CT,0.342646,12,0.490858,0.991799,0.34532
0.05~0.10,Vein @ CT,0.277804,34,0.35195,0.868508,0.27885
0.10~0.15,Brain @ MR,0.723607,50,0.795357,0.949967,0.771735
0.10~0.15,Brain Tumor/Lesion @ MR,0.506388,32,0.624231,0.853703,0.527059
0.10~0.15,Heart @ US,0.777499,172,0.869851,0.923574,0.836455
0.10~0.15,Kidney @ CT,0.880688,52,0.935208,0.942879,0.935051
0.10~0.15,Kidney Tumor/Lesion @ CT,0.645539,18,0.747931,0.978357,0.656269
0.10~0.15,Knee Bone @ MR,0.943166,180,0.969887,0.978904,0.962097
0.10~0.15,Liver @ CT,0.953358,195,0.975764,0.979566,0.973302
0.10~0.15,Liver Tumor/Lesion @ CT,0.393169,16,0.472905,0.974512,0.413788
0.10~0.15,Pancreas @ CT,0.71145,3,0.82918,0.998049,0.7123
