dataset,modalities,anatomy_groups,labels,n_labels,task_types,n_subjects,n_images_train,n_images_test,n_image_files,n_mask_files,n_landmark_files,n_nii_ondisk,n_2D-slices_total,n_2D-slices_axial,n_2D-slices_coronal,n_2D-slices_sagittal,n_annotations,array_size_range,voxel_mm_range,mean_major_axis_mm,median_major_axis_mm,mean_minor_axis_mm,median_minor_axis_mm,mean_angle_deg,median_angle_deg,mean_distance_mm,median_distance_mm,mean_ROI_area_mm2,median_ROI_area_mm2
ACDC,MRI,Heart,left ventricular cavity;myocardium;right ventricular cavity,3,segmentation;detection,300,210,90,300,300,0,600,43962,2842,19954,21166,94160,154-428 x 154-512 x 6-21,1.0-1.0,,,,,,,,,186.7321,175.2173
AFIDs,MRI,,,0,biometry,72,50,22,72,0,72,72,432,216,0,216,0,224-256 x 256-342 x 120-342,0.7-1.4,,,,,,,37.5588,32.9225,,
AMOS22,CT;MRI,Adrenal Gland;Artery;Esophagus;Gallbladder;Intestine;Kidney;Liver;Others;Pancreas;Spleen;Stomach;Urinary System;Vein,aorta;bladder;duodenum;esophagus;gall bladder;left adrenal gland;left kidney;liver;pancreas;postcava;prostate/uterus;right adrenal gland;right kidney;spleen;stomach,15,segmentation;detection,360,252,108,360,360,0,1440,251637,41111,82177,128349,1215776,192-768 x 60-768 x 64-512,0.448-5.0,,,,,,,,,2385.6558,1699.6304
AbdomenAtlas1.0Mini,CT,Artery;Gallbladder;Kidney;Liver;Pancreas;Spleen;Stomach;Vein,aorta;gallbladder;left kidney;liver;pancreas;postcava (inferior vena cava);right kidney;spleen;stomach,9,segmentation;detection,5195,3636,1559,5195,5195,0,10390,3778805,837088,1179688,1762029,13770398,188-762 x 79-519 x 24-2572,0.363-8.0,,,,,,,,,3208.8306,2399.9324
AbdomenCT-1K,CT,Kidney;Liver;Pancreas;Spleen,kidney;liver;pancreas;spleen,4,segmentation;detection,1000,700,300,1000,1000,0,2000,711155,111610,240251,359294,1549325,512-796 x 79-512 x 31-1026,0.45-8.0,,,,,,,,,4752.1097,3472.0861
BCV15,CT,Adrenal Gland;Artery;Esophagus;Gallbladder;Intestine;Kidney;Liver;Pancreas;Spleen;Stomach;Urinary System;Uterus;Vein,aorta;bladder;esophagus;gallbladder;inferior vena cava;left adrenal gland;left kidney;liver;pancreas;portal vein and splenic vein;rectum;right adrenal gland;right kidney;small bowel;spleen;stomach;uterus,17,segmentation;detection,60,42,18,60,60,0,240,34472,4696,11735,18041,125870,512-512 x 512-512 x 85-242,0.594-5.0,,,,,,,,,2859.0788,2201.9216
BraTS24,MRI,Brain Tumor/Lesion,cystic component of brain;enhancing brain tumor;enhancing brain tumor tissue;gross tumor volume of brain;non-enhancing brain tumor;non-enhancing brain tumor core;peritumoral edema of brain;resection cavity of brain;surrounding non-enhancing flair hyperintensity of brain,9,segmentation;detection;biometry,3033,7434,3198,10632,3033,9981,27340,2019118,615866,786654,616598,3767594,160-800 x 90-800 x 33-512,0.338-5.0,35.4542,32.7841,24.9667,22.8065,,,,,511.1961,513.9792
CAMUS,ultrasound,Heart,left atrium;left ventricle;left ventricular myocardium,3,segmentation;detection,1000,700,300,1000,1000,0,2000,670964,19232,400592,251140,1341433,323-1181 x 292-973 x 10-42,0.308-1.0,,,,,,,,,705.8341,660.476
Ceph-Biometrics-400,X Ray,,,0,biometry,400,280,120,400,0,400,400,7600,0,0,7600,0,1-1 x 1935-1935 x 2400-2400,0.1-0.1,,,,,45.339,45.0845,69.0159,65.2155,,
CrossMoDA,MRI,Head-Neck;Head-Neck Tumor/Lesion,cochlea;vestibular schwannoma,2,segmentation;detection,105,73,32,105,105,0,210,14115,1255,5060,7800,16623,512-512 x 512-512 x 120-160,0.41-1.5,,,,,,,,,84.8206,131.4258
DEEP-PSMA,PET,Miscellaneous Tumor/Lesion,total tumor burden,1,segmentation;detection;biometry,100,140,60,200,200,200,400,50341,27790,9588,12963,50341,128-512 x 128-512 x 195-1261,1.5-5.469,59.4003,52.8081,39.4718,34.5444,,,,,1830.3285,1830.3285
