dataset,modality,category,name,anatomy_group,n_volumes,n_2D-slices,mean,median,mean_ROI_pixel_count,unit
ACDC,MRI,label,left ventricular cavity,Heart,300,25825,227.7506,177.0,227.7506,mm2
ACDC,MRI,label,myocardium,Heart,300,33818,175.2173,127.0,175.2173,mm2
ACDC,MRI,label,right ventricular cavity,Heart,300,34517,167.3244,99.0,167.3244,mm2
AFIDs,MRI,measurement,distance_mm,,72,432,37.5588,32.9225,,mm
AMOS22,CT,label,aorta,Artery,360,76922,1466.7986,1106.53,848.332,mm2
AMOS22,CT,label,bladder,Urinary System,296,72069,1699.6304,1165.0703,979.4894,mm2
AMOS22,CT,label,duodenum,Intestine,359,75501,713.6091,480.4545,420.7784,mm2
AMOS22,CT,label,esophagus,Esophagus,359,39261,382.7753,268.0234,227.9214,mm2
AMOS22,CT,label,gall bladder,Gallbladder,337,44875,616.6266,487.4154,364.9158,mm2
AMOS22,CT,label,left adrenal gland,Adrenal Gland,360,27419,136.1213,110.7031,79.4797,mm2
AMOS22,CT,label,left kidney,Kidney,359,64427,2226.1677,2195.7031,1293.3134,mm2
AMOS22,CT,label,liver,Liver,360,175474,7192.9013,6840.312,4132.6935,mm2
AMOS22,CT,label,pancreas,Pancreas,360,95196,719.7799,541.8945,422.3086,mm2
AMOS22,CT,label,postcava,Vein,360,54949,1192.0707,570.1992,679.9144,mm2
AMOS22,CT,label,prostate/uterus,Others,291,44724,1083.5811,850.7832,659.4626,mm2
AMOS22,CT,label,right adrenal gland,Adrenal Gland,359,26329,121.0827,97.75,70.9451,mm2
AMOS22,CT,label,right kidney,Kidney,358,64122,2111.2512,2092.1191,1238.7449,mm2
AMOS22,CT,label,spleen,Spleen,357,85648,2339.3962,1987.7051,1330.3071,mm2
AMOS22,CT,label,stomach,Stomach,357,119450,2732.2796,2013.3751,1669.5179,mm2
AMOS22,MRI,label,aorta,Artery,360,16898,766.1092,366.1205,490.4373,mm2
AMOS22,MRI,label,bladder,Urinary System,296,264,690.964,679.4714,652.8523,mm2
AMOS22,MRI,label,duodenum,Intestine,359,11370,513.4216,367.9242,313.8921,mm2
AMOS22,MRI,label,esophagus,Esophagus,359,7605,165.7482,92.625,105.0469,mm2
